交易日期,交易时间,收入,支出,余额,交易类型,交易备注
20200831,10:47:35,,500.00,1561.41,	银联在线支付,	（特约）天天基金销售基金有限公司
20200831,10:06:50,,10000.00,2061.41,	客户转账,	转账   伯家兰
20200831,09:32:37,,421.93,12061.41,	黄金账户定投,	黄金定投
20200831,08:56:25,,1.50,12483.34,N5CP,	财付通 - 广州骑安
20200831,07:33:41,20.00,,12484.84,	银联代付,	支付宝（中国）网络技术有限公司
20200830,23:02:44,150.75,,12464.84,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200830,20:34:03,524.00,,12314.09,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200830,15:47:31,,7.50,11790.09,N5CP,	财付通 - 丁好便利店东靖路店
20200830,15:43:55,,37.00,11797.59,N5CP,	财付通 - 上海市浦东新区高行镇
20200830,15:38:16,,21.20,11834.59,U1PY,	财付通 - 微信支付 - 丁好便利店东靖路店
20200830,14:23:30,36.49,,11855.79,	银联代付,	支付宝（中国）网络技术有限公司
20200830,14:07:40,15.95,,11819.30,	银联代付,	支付宝（中国）网络技术有限公司
20200830,13:09:46,,10.80,11803.35,N5CP,	财付通 - 微信转账
20200830,12:50:09,,1.50,11814.15,N5CP,	财付通 - 广州骑安
20200830,08:21:50,194.00,,11815.65,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200829,23:22:40,36.49,,11621.65,	银联代付,	支付宝（中国）网络技术有限公司
20200829,20:36:51,28.00,,11585.16,	银联代付,	支付宝（中国）网络技术有限公司
20200829,16:15:21,332.00,,11557.16,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200829,15:06:24,,78.30,11225.16,N5CP,	财付通 - 美团点评平台商户
20200829,13:34:20,70.44,,11303.46,	银联代付,	支付宝（中国）网络技术有限公司
20200829,10:42:25,112.00,,11233.02,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200829,08:49:10,,34.50,11121.02,N5CP,	财付通 - 美团点评平台商户
20200829,07:39:10,28.00,,11155.52,	银联代付,	支付宝（中国）网络技术有限公司
20200829,07:36:44,,106.50,11127.52,N5CP,	财付通 - 微信红包
20200828,22:22:04,166.00,,11234.02,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200828,19:08:32,128.98,,11068.02,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200828,18:43:05,,79.00,10939.04,N5CP,财付通 -7-11 上海
20200828,18:26:26,,15.00,11018.04,U1PY,	财付通 - 微信支付 - 春夏一面
20200828,15:09:03,1000.00,,11033.04,	款项,	网上代发代扣
20200828,12:14:14,166.00,,10033.04,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200828,09:53:34,,500.00,9867.04,	银联在线支付,	（特约）天天基金销售基金有限公司
20200828,09:33:31,,10000.00,10367.04,	转账汇款,	转账   陶建
20200828,09:32:19,,416.80,20367.04,	黄金账户定投,	黄金定投
20200828,08:43:22,138.00,,20783.84,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200828,05:25:51,28.00,,20645.84,	银联代付,	支付宝（中国）网络技术有限公司
20200827,21:32:37,348.98,,20617.84,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200827,21:30:44,,174.49,20268.86,N5CP,	支付宝 - 陶建
20200827,20:13:22,,29.00,20443.35,N5CP,财付通 -7-11 上海
20200827,19:45:07,203.73,,20472.35,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200827,17:52:26,,26.00,20268.62,N5CP,	财付通 - 叁拾玖味
20200827,13:15:50,64.49,,20294.62,	银联代付,	支付宝（中国）网络技术有限公司
20200827,12:35:41,,33.50,20230.13,N5CP,	财付通 - 微信 AA 收款
20200827,12:01:12,267.95,,20263.63,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200827,10:24:06,,500.00,19995.68,	银联在线支付,	（特约）天天基金销售基金有限公司
20200827,09:22:30,86.00,,20495.68,	银联代付,	支付宝（中国）网络技术有限公司
20200827,07:13:06,10000.00,,20409.68,	朝朝盈转出活期,	朝朝盈
20200827,07:12:40,89.73,,10409.68,	银联代付,	支付宝（中国）网络技术有限公司
20200826,22:59:03,10000.00,,10319.95,	朝朝盈转出活期,	朝朝盈
20200826,22:54:40,64.58,,319.95,	银联代付,	支付宝（中国）网络技术有限公司
20200826,20:03:44,108.44,,255.37,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200826,18:06:17,,28.00,146.93,N5CP,	财付通 - 面里巴人重庆小面（宁
20200826,12:57:28,,23.50,174.93,N5CP,	财付通 - 上海昕初餐饮管理有限
20200826,10:13:43,,500.00,198.43,	银联在线支付,	（特约）天天基金销售基金有限公司
20200826,08:37:20,36.40,,698.43,	银联代付,	支付宝（中国）网络技术有限公司
20200826,08:29:10,84.00,,662.03,	银联代付,	支付宝（中国）网络技术有限公司
20200825,17:28:01,56.00,,578.03,	银联代付,	支付宝（中国）网络技术有限公司
20200825,12:24:11,18.00,,522.03,	银联代付,	支付宝（中国）网络技术有限公司
20200825,10:14:09,,500.00,504.03,	银联在线支付,	（特约）天天基金销售基金有限公司
20200825,09:09:55,1000.00,,1004.03,	朝朝盈转出活期,	朝朝盈
20200825,09:09:35,,414.60,4.03,	黄金账户份额购买,	贵金属份额买入
20200825,08:33:29,246.44,,418.63,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200825,01:49:35,,3310.00,172.19,	客户转账,	还款   陶建
20200824,21:28:02,,200.00,3482.19,U1PY,	财付通 - 微信支付 - 微信红包
20200824,21:27:52,,200.00,3682.19,N5CP,	财付通 - 微信红包
20200824,21:27:44,,200.00,3882.19,N5CP,	财付通 - 微信红包
20200824,18:31:53,200.00,,4082.19,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200824,17:47:13,492.69,,3882.19,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200824,13:18:42,3000.00,,3389.50,	行内汇入,	转账   陶建
20200824,13:12:59,,3000.00,389.50,	转账汇款,	转账   陶建
20200824,12:04:28,269.19,,3389.50,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200824,12:02:32,,35.00,3120.31,N5CP,	财付通 - 鱼新
20200824,08:25:01,28.00,,3155.31,	银联代付,	支付宝（中国）网络技术有限公司
20200823,23:15:10,46.00,,3127.31,	银联代付,	支付宝（中国）网络技术有限公司
20200823,21:47:57,202.49,,3081.31,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200823,17:57:52,,88.71,2878.82,U1PY,	财付通 - 微信支付 - 京东到家
20200823,17:52:48,150.49,,2967.53,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200823,11:39:10,408.19,,2817.04,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200823,07:26:23,150.49,,2408.85,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200822,23:58:20,43.95,,2258.36,	银联代付,	支付宝（中国）网络技术有限公司
20200822,20:08:11,230.49,,2214.41,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200822,11:49:44,508.78,,1983.92,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200822,02:21:58,466.85,,1475.14,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200821,20:02:51,,29.80,1008.29,N5CP,	财付通 - 微信面对面收款
20200821,18:33:01,64.49,,1038.09,	银联代付,	支付宝（中国）网络技术有限公司
20200821,15:34:13,241.50,,973.60,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200821,14:30:23,443.29,,732.10,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200821,09:32:17,,832.86,288.81,	黄金账户定投,	黄金定投
20200821,07:17:41,28.00,,1121.67,	银联代付,	支付宝（中国）网络技术有限公司
20200821,01:04:56,142.00,,1093.67,	朝朝盈转出活期,	朝朝盈
20200821,00:36:10,500.00,,951.67,	朝朝盈转出活期,	朝朝盈
20200821,00:35:32,130.00,,451.67,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200820,18:27:17,166.49,,321.67,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200820,14:46:50,56.00,,155.18,	银联代付,	支付宝（中国）网络技术有限公司
20200820,13:27:30,89.73,,99.18,	银联代付,	支付宝（中国）网络技术有限公司
20200820,13:00:02,,41.50,9.45,U1PY,	财付通 - 微信支付 - 微信 AA 收款
20200820,12:59:54,50.00,,50.95,	朝朝盈转出活期,	朝朝盈
20200820,09:38:46,,1000.00,0.95,	黄金账户份额购买,	贵金属份额买入
20200820,09:37:06,1000.00,,1000.95,	朝朝盈转出活期,	朝朝盈
20200820,07:38:48,,305.00,0.95,	基金申购,4972
20200820,07:38:28,8.00,,305.95,	朝朝盈转出活期,	朝朝盈
20200820,07:38:09,9.46,,297.95,	朝朝盈转出活期,	朝朝盈
20200820,06:53:00,36.49,,288.49,	银联代付,	支付宝（中国）网络技术有限公司
20200819,21:18:20,28.00,,252.00,	银联代付,	支付宝（中国）网络技术有限公司
20200819,18:41:40,224.00,,224.00,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200819,14:12:14,,1106.39,0.00,	基金申购,4972
20200819,13:42:51,56.00,,1106.39,	银联代付,	支付宝（中国）网络技术有限公司
20200819,12:19:50,64.49,,1050.39,	银联代付,	支付宝（中国）网络技术有限公司
20200819,09:42:52,138.00,,985.90,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200819,08:26:10,28.00,,847.90,	银联代付,	支付宝（中国）网络技术有限公司
20200818,22:59:19,500.92,,819.90,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200818,20:34:49,184.00,,318.98,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200818,18:13:47,,20.00,134.98,N5CP,	财付通 - 微信红包
20200818,09:28:41,36.49,,154.98,	银联代付,	支付宝（中国）网络技术有限公司
20200818,08:09:31,46.00,,118.49,	银联代付,	支付宝（中国）网络技术有限公司
20200818,08:00:14,,20.00,72.49,N5CP,	财付通 - 微信红包
20200818,07:52:11,64.49,,92.49,	银联代付,	支付宝（中国）网络技术有限公司
20200818,00:07:11,28.00,,28.00,	银联代付,	支付宝（中国）网络技术有限公司
20200817,21:17:24,,174.49,0.00,	基金申购,4972
20200817,17:17:18,138.00,,174.49,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200817,12:25:29,36.49,,36.49,	银联代付,	支付宝（中国）网络技术有限公司
20200817,12:21:19,,1001.59,0.00,	基金申购,4972
20200817,12:20:34,1001.59,,1001.59,	行内汇入,	转账   陶建
20200817,12:19:39,,102.00,0.00,	基金申购,4972
20200817,11:59:40,56.00,,102.00,	银联代付,	支付宝（中国）网络技术有限公司
20200817,09:27:51,28.00,,46.00,	银联代付,	支付宝（中国）网络技术有限公司
20200817,07:36:10,18.00,,18.00,	银联代付,	支付宝（中国）网络技术有限公司
20200816,23:22:36,,156.00,0.00,	基金申购,4972
20200816,23:21:55,138.00,,156.00,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200816,21:21:50,18.00,,18.00,	银联代付,	支付宝（中国）网络技术有限公司
20200816,19:58:12,,34.30,0.00,	基金申购,4972
20200816,19:57:38,,11.70,34.30,	活期转入朝朝盈,	朝朝盈
20200816,19:57:00,46.00,,46.00,	银联代付,	支付宝（中国）网络技术有限公司
20200816,17:50:25,,166.00,0.00,	活期转入朝朝盈,	朝朝盈
20200816,17:49:53,166.00,,166.00,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200816,15:13:35,,80.00,0.00,	活期转入朝朝盈,	朝朝盈
20200816,15:13:22,80.00,,80.00,	行内汇入,	转账   陶建
20200816,15:12:35,,122.49,0.00,	活期转入朝朝盈,	朝朝盈
20200816,15:11:51,122.49,,122.49,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200815,21:58:40,,28.00,0.00,	活期转入朝朝盈,	朝朝盈
20200815,21:58:20,28.00,,28.00,	银联代付,	支付宝（中国）网络技术有限公司
20200815,21:58:00,,353.19,0.00,	活期转入朝朝盈,	朝朝盈
20200815,21:07:45,325.19,,353.19,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200815,13:30:20,28.00,,28.00,	银联代付,	支付宝（中国）网络技术有限公司
20200815,06:23:33,,584.26,0.00,	活期转入朝朝盈,	朝朝盈
20200815,06:00:51,96.00,,584.26,	银联代付,	支付宝（中国）网络技术有限公司
20200814,21:20:51,28.00,,488.26,	银联代付,	支付宝（中国）网络技术有限公司
20200814,21:05:06,102.00,,460.26,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200814,18:50:01,86.00,,358.26,	银联代付,	支付宝（中国）网络技术有限公司
20200814,17:10:08,265.95,,272.26,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200814,14:10:53,,1000.00,6.31,	转账汇款,	转账   陶建
20200814,14:10:18,1000.00,,1006.31,	朝朝盈转出活期,	朝朝盈
20200814,12:59:59,,80.00,6.31,	转账汇款,	转账   陶建
20200814,09:28:00,71.78,,86.31,	银联代付,	支付宝（中国）网络技术有限公司
20200814,08:24:02,,345.00,14.53,N5CP,	财付通 - 微信转账
20200814,08:23:50,350.00,,359.53,	朝朝盈转出活期,	朝朝盈
20200814,06:43:16,,2700.00,9.53,	基金申购,4972
20200814,06:42:37,11.91,,2709.53,	朝朝盈转出活期,	朝朝盈
20200814,06:42:08,194.00,,2697.62,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200813,20:16:17,223.50,,2503.62,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200813,16:33:45,305.68,,2280.12,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200813,12:15:44,114.00,,1974.44,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200813,08:23:50,36.49,,1860.44,	银联代付,	支付宝（中国）网络技术有限公司
20200813,07:58:40,28.00,,1823.95,	银联代付,	支付宝（中国）网络技术有限公司
20200813,00:09:51,28.00,,1795.95,	银联代付,	支付宝（中国）网络技术有限公司
20200812,22:28:01,,30000.00,1767.95,	基金申购,4972
20200812,20:29:11,28.00,,31767.95,	银联代付,	支付宝（中国）网络技术有限公司
20200812,17:36:56,138.44,,31739.95,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200812,11:47:34,156.00,,31601.51,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200812,11:20:32,,9.90,31445.51,N5CP,	支付宝 - 叶顺清
20200812,10:15:30,28.00,,31455.41,	银联代付,	支付宝（中国）网络技术有限公司
20200811,20:27:09,201.73,,31427.41,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200811,05:29:11,64.49,,31225.68,	银联代付,	支付宝（中国）网络技术有限公司
20200810,20:25:00,28.00,,31161.19,	银联代付,	支付宝（中国）网络技术有限公司
20200810,17:59:41,64.00,,31133.19,	银联代付,	支付宝（中国）网络技术有限公司
20200810,16:22:28,18615.75,,31069.19,	代发工资,202007 薪资
20200810,15:39:21,166.49,,12453.44,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200810,08:03:00,28.00,,12286.95,	银联代付,	支付宝（中国）网络技术有限公司
20200809,22:00:23,138.00,,12258.95,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200809,19:17:51,167.50,,12120.95,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200809,19:11:40,,168.00,11953.45,N5CP,	支付宝 - 周知
20200809,16:18:56,285.14,,12121.45,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200809,12:56:20,,5000.00,11836.31,N5CP,	支付宝 - 周知
20200809,11:37:01,86.00,,16836.31,	银联代付,	支付宝（中国）网络技术有限公司
20200809,09:50:00,,9.90,16750.31,N5CP,	支付宝 - 叶顺清
20200809,08:40:40,36.49,,16760.21,	银联代付,	支付宝（中国）网络技术有限公司
20200808,21:23:50,99.00,,16723.72,	银联代付,	支付宝（中国）网络技术有限公司
20200808,17:16:46,,340.72,16624.72,N5CP,	京东支付 - 京东金融
20200808,16:38:00,,1650.00,16965.44,N5CP,	财付通 - 微信转账
20200808,16:01:20,38.00,,18615.44,	银联代付,	财付通支付科技有限公司
20200808,15:29:17,368.50,,18577.44,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200808,07:40:22,364.01,,18208.94,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200807,19:38:05,,8.00,17844.93,N5CP,	财付通 - 微信转账
20200807,17:06:10,,120.00,17852.93,N5CP,	财付通 - 微信转账
20200807,10:00:14,,16.40,17972.93,N5CP,财付通 -7-11 上海
20200807,00:05:04,138.00,,17989.33,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200806,20:52:56,,10.00,17851.33,N5CP,	财付通 - 联华超市东靖路店
20200806,17:57:30,,38879.51,17861.33,	活期转入朝朝盈,	朝朝盈
20200806,17:54:13,305.68,,56740.84,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200806,08:27:31,28.00,,56435.16,	银联代付,	支付宝（中国）网络技术有限公司
20200805,23:52:59,167.50,,56407.16,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200805,21:13:27,257.23,,56239.66,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200805,20:43:23,,4.00,55982.43,N5CP,	支付宝 - 上海都畅数字技术有限公司
20200805,20:42:14,,49.95,55986.43,N5CP,	财付通 - 手机充值
20200805,20:22:00,89.73,,56036.38,	银联代付,	支付宝（中国）网络技术有限公司
20200805,18:33:55,478.56,,55946.65,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200805,18:28:18,195.50,,55468.09,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200805,17:52:25,,300.00,55272.59,N5CP,	财付通 - 稻香世家
20200805,14:51:29,,30.00,55572.59,N5CP,	财付通 - 手机充值
20200805,14:51:10,,50.00,55602.59,U1PY,	财付通 - 微信支付 - 手机充值
20200805,11:55:17,,30.50,55652.59,N5CP,	财付通 - 上海昕初餐饮管理有限
20200805,09:48:52,,4.00,55683.09,N5CP,	支付宝 - 上海都畅数字技术有限公司
20200805,09:41:50,28.00,,55687.09,	银联代付,	支付宝（中国）网络技术有限公司
20200805,08:09:27,,490.00,55659.09,N5CP,	支付宝 - 中国东方航空股份有限公司
,,,,,,
# 收入合计: 153 笔，共 156080.48 元,,,,,,
# 支出合计: 113 笔，共 211427.26 元,,,,,,
